rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 ;D4 197281
r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 1 ;D4 4085603 
4k3/8/8/8/8/8/8/4K2R w K - 0 1 ;D4 7059
4k3/8/8/8/8/8/8/R3K3 w Q - 0 1 ;D4 7626
4k2r/8/8/8/8/8/8/4K3 w k - 0 1 ;D4 8290
r3k3/8/8/8/8/8/8/4K3 w q - 0 1 ;D4 8897
4k3/8/8/8/8/8/8/R3K2R w KQ - 0 1 ;D4 17945
r3k2r/8/8/8/8/8/8/4K3 w kq - 0 1 ;D4 22180
8/8/8/8/8/8/6k1/4K2R w K - 0 1 ;D4 2219
8/8/8/8/8/8/1k6/R3K3 w Q - 0 1 ;D4 4573
4k2r/6K1/8/8/8/8/8/8 w k - 0 1 ;D4 2073
r3k3/1K6/8/8/8/8/8/8 w q - 0 1 ;D4 3991
r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1 ;D4 314346
r3k2r/8/8/8/8/8/8/1R2K2R w Kkq - 0 1 ;D4 328965
r3k2r/8/8/8/8/8/8/2R1K2R w Kkq - 0 1 ;D4 312835
r3k2r/8/8/8/8/8/8/R3K1R1 w Qkq - 0 1 ;D4 316214
1r2k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1 ;D4 334705
2r1k2r/8/8/8/8/8/8/R3K2R w KQk - 0 1 ;D4 317324
r3k1r1/8/8/8/8/8/8/R3K2R w KQq - 0 1 ;D4 320792
4k3/8/8/8/8/8/8/4K2R b K - 0 1 ;D4 8290
4k3/8/8/8/8/8/8/R3K3 b Q - 0 1 ;D4 8897
4k2r/8/8/8/8/8/8/4K3 b k - 0 1 ;D4 7059
r3k3/8/8/8/8/8/8/4K3 b q - 0 1 ;D4 7626
4k3/8/8/8/8/8/8/R3K2R b KQ - 0 1 ;D4 22180
r3k2r/8/8/8/8/8/8/4K3 b kq - 0 1 ;D4 17945
8/8/8/8/8/8/6k1/4K2R b K - 0 1 ;D4 2073
8/8/8/8/8/8/1k6/R3K3 b Q - 0 1 ;D4 3991
4k2r/6K1/8/8/8/8/8/8 b k - 0 1 ;D4 2219
r3k3/1K6/8/8/8/8/8/8 b q - 0 1 ;D4 4573
r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1 ;D4 314346
r3k2r/8/8/8/8/8/8/1R2K2R b Kkq - 0 1 ;D4 334705
r3k2r/8/8/8/8/8/8/2R1K2R b Kkq - 0 1 ;D4 317324
r3k2r/8/8/8/8/8/8/R3K1R1 b Qkq - 0 1 ;D4 320792
1r2k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1 ;D4 328965
2r1k2r/8/8/8/8/8/8/R3K2R b KQk - 0 1 ;D4 312835
r3k1r1/8/8/8/8/8/8/R3K2R b KQq - 0 1 ;D4 316214
8/1n4N1/2k5/8/8/5K2/1N4n1/8 w - - 0 1 ;D4 38675
8/1k6/8/5N2/8/4n3/8/2K5 w - - 0 1 ;D4 20534
8/8/4k3/3Nn3/3nN3/4K3/8/8 w - - 0 1 ;D4 73584
K7/8/2n5/1n6/8/8/8/k6N w - - 0 1 ;D4 5301
k7/8/2N5/1N6/8/8/8/K6n w - - 0 1 ;D4 5910
8/1n4N1/2k5/8/8/5K2/1N4n1/8 b - - 0 1 ;D4 40039
8/1k6/8/5N2/8/4n3/8/2K5 b - - 0 1 ;D4 24640
8/8/3K4/3Nn3/3nN3/4k3/8/8 b - - 0 1 ;D4 16199
K7/8/2n5/1n6/8/8/8/k6N b - - 0 1 ;D4 5910
k7/8/2N5/1N6/8/8/8/K6n b - - 0 1 ;D4 5301
B6b/8/8/8/2K5/4k3/8/b6B w - - 0 1 ;D4 76778
8/8/1B6/7b/7k/8/2B1b3/7K w - - 0 1 ;D4 93338
k7/B7/1B6/1B6/8/8/8/K6b w - - 0 1 ;D4 32955
K7/b7/1b6/1b6/8/8/8/k6B w - - 0 1 ;D4 31787
B6b/8/8/8/2K5/5k2/8/b6B b - - 0 1 ;D4 31151
8/8/1B6/7b/7k/8/2B1b3/7K b - - 0 1 ;D4 93603
k7/B7/1B6/1B6/8/8/8/K6b b - - 0 1 ;D4 31787
